method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,39.65599822998047,,1002,mnasnet,4,2
restoration,64.0,50.0,0.1,39.95,67.13,1002,mnasnet,4,2
restoration,64.0,50.0,0.2,40.158,67.212,1002,mnasnet,4,2
restoration,64.0,50.0,0.3,40.298,67.28,1002,mnasnet,4,2
restoration,64.0,50.0,0.4,40.374,67.262,1002,mnasnet,4,2
restoration,64.0,50.0,0.5,40.37,67.194,1002,mnasnet,4,2
restoration,64.0,50.0,0.6,40.322,67.112,1002,mnasnet,4,2
restoration,64.0,50.0,0.7,40.112,66.974,1002,mnasnet,4,2
restoration,64.0,50.0,0.8,39.876,66.724,1002,mnasnet,4,2
restoration,64.0,50.0,0.9,39.604,66.442,1002,mnasnet,4,2
restoration,64.0,50.0,1.0,39.34,66.102,1002,mnasnet,4,2
