method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,72.42399597167969,,1000,regnetx_3200m,2,4
restoration,1.0,50.0,0.6,72.706,91.334,1000,regnetx_3200m,2,4
restoration,8.0,50.0,0.6,72.704,91.39,1000,regnetx_3200m,2,4
restoration,16.0,50.0,0.6,72.654,91.396,1000,regnetx_3200m,2,4
restoration,24.0,50.0,0.6,72.714,91.364,1000,regnetx_3200m,2,4
restoration,32.0,50.0,0.6,72.62,91.364,1000,regnetx_3200m,2,4
restoration,48.0,50.0,0.6,72.7,91.38,1000,regnetx_3200m,2,4
restoration,64.0,50.0,0.6,72.688,91.374,1000,regnetx_3200m,2,4
restoration,96.0,50.0,0.6,72.692,91.402,1000,regnetx_3200m,2,4
restoration,128.0,50.0,0.6,72.692,91.404,1000,regnetx_3200m,2,4
restoration,192.0,50.0,0.6,72.766,91.434,1000,regnetx_3200m,2,4
restoration,256.0,50.0,0.6,72.816,91.478,1000,regnetx_3200m,2,4
