method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,74.95800018310547,,1002,resnet50,4,4
restoration,1.0,50.0,0.6,75.0,92.178,1002,resnet50,4,4
restoration,8.0,50.0,0.6,75.028,92.182,1002,resnet50,4,4
restoration,16.0,50.0,0.6,74.994,92.172,1002,resnet50,4,4
restoration,24.0,50.0,0.6,74.984,92.178,1002,resnet50,4,4
restoration,32.0,50.0,0.6,74.976,92.2,1002,resnet50,4,4
restoration,48.0,50.0,0.6,74.978,92.21,1002,resnet50,4,4
restoration,64.0,50.0,0.6,75.04,92.188,1002,resnet50,4,4
restoration,96.0,50.0,0.6,75.05,92.182,1002,resnet50,4,4
restoration,128.0,50.0,0.6,75.018,92.184,1002,resnet50,4,4
restoration,192.0,50.0,0.6,75.018,92.198,1002,resnet50,4,4
restoration,256.0,50.0,0.6,74.984,92.22,1002,resnet50,4,4
