method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,39.59600067138672,,1001,mnasnet,4,2
restoration,64.0,1.0,0.6,40.182,66.976,1001,mnasnet,4,2
restoration,64.0,5.0,0.6,40.264,66.94,1001,mnasnet,4,2
restoration,64.0,10.0,0.6,40.146,66.922,1001,mnasnet,4,2
restoration,64.0,15.0,0.6,40.186,66.916,1001,mnasnet,4,2
restoration,64.0,20.0,0.6,40.204,66.974,1001,mnasnet,4,2
restoration,64.0,25.0,0.6,40.264,66.942,1001,mnasnet,4,2
restoration,64.0,30.0,0.6,40.208,66.888,1001,mnasnet,4,2
restoration,64.0,35.0,0.6,40.232,66.952,1001,mnasnet,4,2
restoration,64.0,40.0,0.6,40.178,66.928,1001,mnasnet,4,2
restoration,64.0,45.0,0.6,40.18,66.888,1001,mnasnet,4,2
restoration,64.0,50.0,0.6,40.156,66.918,1001,mnasnet,4,2
restoration,64.0,55.0,0.6,40.17,66.918,1001,mnasnet,4,2
restoration,64.0,60.0,0.6,40.158,66.944,1001,mnasnet,4,2
restoration,64.0,65.0,0.6,40.238,66.848,1001,mnasnet,4,2
restoration,64.0,70.0,0.6,40.2,66.904,1001,mnasnet,4,2
restoration,64.0,75.0,0.6,40.16,66.868,1001,mnasnet,4,2
restoration,64.0,80.0,0.6,40.138,66.878,1001,mnasnet,4,2
restoration,64.0,85.0,0.6,40.1,66.88,1001,mnasnet,4,2
restoration,64.0,90.0,0.6,40.082,66.772,1001,mnasnet,4,2
restoration,64.0,95.0,0.6,40.11,66.892,1001,mnasnet,4,2
restoration,64.0,100.0,0.6,40.12,66.85,1001,mnasnet,4,2
restoration,64.0,105.0,0.6,40.092,66.92,1001,mnasnet,4,2
restoration,64.0,110.0,0.6,40.192,66.906,1001,mnasnet,4,2
restoration,64.0,115.0,0.6,40.116,66.894,1001,mnasnet,4,2
restoration,64.0,120.0,0.6,40.082,66.848,1001,mnasnet,4,2
restoration,64.0,125.0,0.6,40.098,66.922,1001,mnasnet,4,2
restoration,64.0,130.0,0.6,40.1,66.89,1001,mnasnet,4,2
restoration,64.0,135.0,0.6,40.092,66.88,1001,mnasnet,4,2
restoration,64.0,140.0,0.6,40.164,66.832,1001,mnasnet,4,2
restoration,64.0,145.0,0.6,40.06,66.884,1001,mnasnet,4,2
restoration,64.0,150.0,0.6,40.094,66.878,1001,mnasnet,4,2
restoration,64.0,155.0,0.6,40.072,66.87,1001,mnasnet,4,2
restoration,64.0,160.0,0.6,40.212,66.878,1001,mnasnet,4,2
restoration,64.0,165.0,0.6,40.182,66.884,1001,mnasnet,4,2
restoration,64.0,170.0,0.6,40.066,66.934,1001,mnasnet,4,2
restoration,64.0,175.0,0.6,40.108,66.914,1001,mnasnet,4,2
restoration,64.0,180.0,0.6,40.156,66.84,1001,mnasnet,4,2
restoration,64.0,185.0,0.6,40.12,66.75,1001,mnasnet,4,2
restoration,64.0,190.0,0.6,40.146,66.888,1001,mnasnet,4,2
restoration,64.0,195.0,0.6,40.116,66.872,1001,mnasnet,4,2
restoration,64.0,200.0,0.6,40.148,66.87,1001,mnasnet,4,2
restoration,64.0,205.0,0.6,40.124,66.942,1001,mnasnet,4,2
restoration,64.0,210.0,0.6,40.17,66.87,1001,mnasnet,4,2
restoration,64.0,215.0,0.6,40.174,66.834,1001,mnasnet,4,2
restoration,64.0,220.0,0.6,40.146,66.924,1001,mnasnet,4,2
