method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,68.15799713134766,,1002,mobilenetv2,4,4
restoration,64.0,1.0,0.6,68.194,88.186,1002,mobilenetv2,4,4
restoration,64.0,5.0,0.6,68.172,88.242,1002,mobilenetv2,4,4
restoration,64.0,10.0,0.6,68.154,88.22,1002,mobilenetv2,4,4
restoration,64.0,15.0,0.6,68.126,88.244,1002,mobilenetv2,4,4
restoration,64.0,20.0,0.6,68.08,88.234,1002,mobilenetv2,4,4
restoration,64.0,25.0,0.6,68.138,88.244,1002,mobilenetv2,4,4
restoration,64.0,30.0,0.6,68.12,88.234,1002,mobilenetv2,4,4
restoration,64.0,35.0,0.6,68.156,88.218,1002,mobilenetv2,4,4
restoration,64.0,40.0,0.6,68.15,88.262,1002,mobilenetv2,4,4
restoration,64.0,45.0,0.6,68.136,88.226,1002,mobilenetv2,4,4
restoration,64.0,50.0,0.6,68.196,88.216,1002,mobilenetv2,4,4
restoration,64.0,55.0,0.6,68.174,88.236,1002,mobilenetv2,4,4
restoration,64.0,60.0,0.6,68.116,88.234,1002,mobilenetv2,4,4
restoration,64.0,65.0,0.6,68.144,88.23,1002,mobilenetv2,4,4
restoration,64.0,70.0,0.6,68.15,88.272,1002,mobilenetv2,4,4
restoration,64.0,75.0,0.6,68.146,88.25,1002,mobilenetv2,4,4
restoration,64.0,80.0,0.6,68.118,88.226,1002,mobilenetv2,4,4
restoration,64.0,85.0,0.6,68.136,88.244,1002,mobilenetv2,4,4
restoration,64.0,90.0,0.6,68.1,88.25,1002,mobilenetv2,4,4
restoration,64.0,95.0,0.6,68.09,88.226,1002,mobilenetv2,4,4
restoration,64.0,100.0,0.6,68.082,88.222,1002,mobilenetv2,4,4
restoration,64.0,105.0,0.6,68.136,88.258,1002,mobilenetv2,4,4
restoration,64.0,110.0,0.6,68.154,88.202,1002,mobilenetv2,4,4
restoration,64.0,115.0,0.6,68.088,88.232,1002,mobilenetv2,4,4
restoration,64.0,120.0,0.6,68.146,88.222,1002,mobilenetv2,4,4
restoration,64.0,125.0,0.6,68.132,88.21,1002,mobilenetv2,4,4
restoration,64.0,130.0,0.6,68.158,88.232,1002,mobilenetv2,4,4
restoration,64.0,135.0,0.6,68.134,88.242,1002,mobilenetv2,4,4
restoration,64.0,140.0,0.6,68.136,88.216,1002,mobilenetv2,4,4
restoration,64.0,145.0,0.6,68.148,88.23,1002,mobilenetv2,4,4
restoration,64.0,150.0,0.6,68.114,88.242,1002,mobilenetv2,4,4
restoration,64.0,155.0,0.6,68.134,88.23,1002,mobilenetv2,4,4
restoration,64.0,160.0,0.6,68.088,88.238,1002,mobilenetv2,4,4
restoration,64.0,165.0,0.6,68.144,88.22,1002,mobilenetv2,4,4
restoration,64.0,170.0,0.6,68.136,88.258,1002,mobilenetv2,4,4
restoration,64.0,175.0,0.6,68.152,88.214,1002,mobilenetv2,4,4
restoration,64.0,180.0,0.6,68.118,88.214,1002,mobilenetv2,4,4
restoration,64.0,185.0,0.6,68.088,88.228,1002,mobilenetv2,4,4
restoration,64.0,190.0,0.6,68.118,88.22,1002,mobilenetv2,4,4
restoration,64.0,195.0,0.6,68.106,88.226,1002,mobilenetv2,4,4
restoration,64.0,200.0,0.6,68.126,88.23,1002,mobilenetv2,4,4
restoration,64.0,205.0,0.6,68.104,88.25,1002,mobilenetv2,4,4
restoration,64.0,210.0,0.6,68.126,88.226,1002,mobilenetv2,4,4
restoration,64.0,215.0,0.6,68.124,88.222,1002,mobilenetv2,4,4
restoration,64.0,220.0,0.6,68.138,88.236,1002,mobilenetv2,4,4
