method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,72.42399597167969,,1000,regnetx_3200m,2,4
restoration,64.0,1.0,0.6,72.686,91.336,1000,regnetx_3200m,2,4
restoration,64.0,5.0,0.6,72.676,91.394,1000,regnetx_3200m,2,4
restoration,64.0,10.0,0.6,72.678,91.394,1000,regnetx_3200m,2,4
restoration,64.0,15.0,0.6,72.752,91.408,1000,regnetx_3200m,2,4
restoration,64.0,20.0,0.6,72.706,91.384,1000,regnetx_3200m,2,4
restoration,64.0,25.0,0.6,72.618,91.4,1000,regnetx_3200m,2,4
restoration,64.0,30.0,0.6,72.644,91.388,1000,regnetx_3200m,2,4
restoration,64.0,35.0,0.6,72.628,91.348,1000,regnetx_3200m,2,4
restoration,64.0,40.0,0.6,72.644,91.372,1000,regnetx_3200m,2,4
restoration,64.0,45.0,0.6,72.686,91.378,1000,regnetx_3200m,2,4
restoration,64.0,50.0,0.6,72.688,91.376,1000,regnetx_3200m,2,4
restoration,64.0,55.0,0.6,72.728,91.378,1000,regnetx_3200m,2,4
restoration,64.0,60.0,0.6,72.672,91.366,1000,regnetx_3200m,2,4
restoration,64.0,65.0,0.6,72.666,91.372,1000,regnetx_3200m,2,4
restoration,64.0,70.0,0.6,72.714,91.396,1000,regnetx_3200m,2,4
restoration,64.0,75.0,0.6,72.728,91.376,1000,regnetx_3200m,2,4
restoration,64.0,80.0,0.6,72.668,91.388,1000,regnetx_3200m,2,4
restoration,64.0,85.0,0.6,72.718,91.372,1000,regnetx_3200m,2,4
restoration,64.0,90.0,0.6,72.74,91.414,1000,regnetx_3200m,2,4
restoration,64.0,95.0,0.6,72.7,91.388,1000,regnetx_3200m,2,4
restoration,64.0,100.0,0.6,72.762,91.4,1000,regnetx_3200m,2,4
restoration,64.0,105.0,0.6,72.664,91.394,1000,regnetx_3200m,2,4
restoration,64.0,110.0,0.6,72.71,91.366,1000,regnetx_3200m,2,4
restoration,64.0,115.0,0.6,72.71,91.378,1000,regnetx_3200m,2,4
restoration,64.0,120.0,0.6,72.752,91.376,1000,regnetx_3200m,2,4
restoration,64.0,125.0,0.6,72.7,91.362,1000,regnetx_3200m,2,4
restoration,64.0,130.0,0.6,72.676,91.392,1000,regnetx_3200m,2,4
restoration,64.0,135.0,0.6,72.712,91.41,1000,regnetx_3200m,2,4
restoration,64.0,140.0,0.6,72.728,91.38,1000,regnetx_3200m,2,4
restoration,64.0,145.0,0.6,72.77,91.358,1000,regnetx_3200m,2,4
restoration,64.0,150.0,0.6,72.732,91.412,1000,regnetx_3200m,2,4
restoration,64.0,155.0,0.6,72.782,91.4,1000,regnetx_3200m,2,4
restoration,64.0,160.0,0.6,72.748,91.354,1000,regnetx_3200m,2,4
restoration,64.0,165.0,0.6,72.738,91.384,1000,regnetx_3200m,2,4
restoration,64.0,170.0,0.6,72.688,91.396,1000,regnetx_3200m,2,4
restoration,64.0,175.0,0.6,72.684,91.38,1000,regnetx_3200m,2,4
restoration,64.0,180.0,0.6,72.738,91.39,1000,regnetx_3200m,2,4
restoration,64.0,185.0,0.6,72.684,91.384,1000,regnetx_3200m,2,4
restoration,64.0,190.0,0.6,72.698,91.4,1000,regnetx_3200m,2,4
restoration,64.0,195.0,0.6,72.74,91.368,1000,regnetx_3200m,2,4
restoration,64.0,200.0,0.6,72.728,91.382,1000,regnetx_3200m,2,4
restoration,64.0,205.0,0.6,72.712,91.394,1000,regnetx_3200m,2,4
restoration,64.0,210.0,0.6,72.784,91.36,1000,regnetx_3200m,2,4
restoration,64.0,215.0,0.6,72.744,91.384,1000,regnetx_3200m,2,4
restoration,64.0,220.0,0.6,72.726,91.398,1000,regnetx_3200m,2,4
