method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,58.58799743652344,,1001,resnet18,4,2
restoration,64.0,1.0,0.6,58.734,82.186,1001,resnet18,4,2
restoration,64.0,5.0,0.6,58.672,82.174,1001,resnet18,4,2
restoration,64.0,10.0,0.6,58.574,82.192,1001,resnet18,4,2
restoration,64.0,15.0,0.6,58.552,82.166,1001,resnet18,4,2
restoration,64.0,20.0,0.6,58.572,82.23,1001,resnet18,4,2
restoration,64.0,25.0,0.6,58.536,82.172,1001,resnet18,4,2
restoration,64.0,30.0,0.6,58.538,82.172,1001,resnet18,4,2
restoration,64.0,35.0,0.6,58.52,82.142,1001,resnet18,4,2
restoration,64.0,40.0,0.6,58.508,82.158,1001,resnet18,4,2
restoration,64.0,45.0,0.6,58.508,82.18,1001,resnet18,4,2
restoration,64.0,50.0,0.6,58.444,82.232,1001,resnet18,4,2
restoration,64.0,55.0,0.6,58.558,82.13,1001,resnet18,4,2
restoration,64.0,60.0,0.6,58.524,82.146,1001,resnet18,4,2
restoration,64.0,65.0,0.6,58.446,82.152,1001,resnet18,4,2
restoration,64.0,70.0,0.6,58.462,82.126,1001,resnet18,4,2
restoration,64.0,75.0,0.6,58.486,82.176,1001,resnet18,4,2
restoration,64.0,80.0,0.6,58.42,82.142,1001,resnet18,4,2
restoration,64.0,85.0,0.6,58.412,82.106,1001,resnet18,4,2
restoration,64.0,90.0,0.6,58.434,82.128,1001,resnet18,4,2
restoration,64.0,95.0,0.6,58.448,82.14,1001,resnet18,4,2
restoration,64.0,100.0,0.6,58.44,82.148,1001,resnet18,4,2
restoration,64.0,105.0,0.6,58.48,82.094,1001,resnet18,4,2
restoration,64.0,110.0,0.6,58.426,82.136,1001,resnet18,4,2
restoration,64.0,115.0,0.6,58.49,82.152,1001,resnet18,4,2
restoration,64.0,120.0,0.6,58.468,82.084,1001,resnet18,4,2
restoration,64.0,125.0,0.6,58.452,82.142,1001,resnet18,4,2
restoration,64.0,130.0,0.6,58.488,82.152,1001,resnet18,4,2
restoration,64.0,135.0,0.6,58.45,82.124,1001,resnet18,4,2
restoration,64.0,140.0,0.6,58.472,82.166,1001,resnet18,4,2
restoration,64.0,145.0,0.6,58.44,82.146,1001,resnet18,4,2
restoration,64.0,150.0,0.6,58.45,82.128,1001,resnet18,4,2
restoration,64.0,155.0,0.6,58.524,82.146,1001,resnet18,4,2
restoration,64.0,160.0,0.6,58.508,82.128,1001,resnet18,4,2
restoration,64.0,165.0,0.6,58.542,82.116,1001,resnet18,4,2
restoration,64.0,170.0,0.6,58.482,82.142,1001,resnet18,4,2
restoration,64.0,175.0,0.6,58.442,82.118,1001,resnet18,4,2
restoration,64.0,180.0,0.6,58.446,82.122,1001,resnet18,4,2
restoration,64.0,185.0,0.6,58.45,82.094,1001,resnet18,4,2
restoration,64.0,190.0,0.6,58.5,82.122,1001,resnet18,4,2
restoration,64.0,195.0,0.6,58.418,82.224,1001,resnet18,4,2
restoration,64.0,200.0,0.6,58.428,82.156,1001,resnet18,4,2
restoration,64.0,205.0,0.6,58.468,82.142,1001,resnet18,4,2
restoration,64.0,210.0,0.6,58.458,82.172,1001,resnet18,4,2
restoration,64.0,215.0,0.6,58.444,82.124,1001,resnet18,4,2
restoration,64.0,220.0,0.6,58.502,82.168,1001,resnet18,4,2
